title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Murder Blues,Waring Cuney,Cuney,"Headlines in de papers,
Lou done killed her man.
Headlines in de papers,
Lou done killed her man.
Court room was silent,
When de trail began.
De lawyers talked an' talked,
Dey tried to save her.
Dey talked an' talked an' talked,
Dey tried to save her.
A bad name was all,
De witness gave her.
Then Lou said, ""Mister Judge,
'Ain't sorry he's dead.
Say Lou said, ""Mister Judge,
'Ain't sorry he's dead.
Wish someone else had
Hit him on his head.""
Oh, de Jury went out,
An' never came back.
Oh, de Jury went out,
An' never came back.
Thought I saw po' Lou,
Ridin' in her hack.
De Judge said, ""Sister Lou,
Gonna turn you free.
Sister Lou,"" said de Judge,
""Gonna turn you free.
First gal I've seen who
Tol' de truth to me."" ",June,1928,Saturday Evening Quill,Eugene Gordon,Blues ,male,,,,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
Pick Song,Waring Cuney,Cuney,"If I had dug in one place
all my life,
say all my life,
I would have dug a hole
Through dis earth,
say through dis earth.
I would have dug a hole
through dis earth.
Eigh! Lawd!
If I had dug in one place
all my life,
say all my life,
I would be a-tumbling
down in space,
say down in space.
I would be a-tumbling
down in space.
Eigh! Lawd! ",June,1928,Saturday Evening Quill,Eugene Gordon,,male,,,,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
No Images ,Waring Cuney,Cuney,"She does not know
Her beauty
She thinks her brown body
Has no glory
If she could dance
Naked
Under palm trees
And see her image in the river
She would know
But there are no palm trees
On the street
And dish water gives back no images",June,1926,Opportunity,Charles S. Johnson,Free verse,male,"Race: Black beauty, Prize-winning",The Carolina Magazine,New York,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
Da Jail Blues Song ,Waring Cuney,Cuney,"Ah left ma mother's home
Jess to be wid him.
Ah qit ma mother's home
So ah could be wid him.
An' now de Prison Man
Done took ma poor man Jim.
Forty years is what dey gave him
An' forty years is so long,
A forty years in de jail house
An' forty years is so long,
Why in forty years of time
De bes' gal can go wrong.
Hard luck, hard luck,
Hard luck as Ah can be.
Say hard luck, hard luck
Ah'm hard luck as Ah can be.
Had'nt had dis man a year
When de law took him from me.
Ah'd go drown maself,
But de water looks so cold.
Say Ah'd go an' drown maself,
But de river looks so cold.
What good can a man be
Dat's seventy-two years old?
If Ah had a sharp, sharp knife
An' Ah knew it would'nt hurt,
If Ah had a real sharp knife
Dat Ah knew it would'nt hurt,
Ah'd cut ma head right off
An' bury it beneaf de durt.
But a person dat's dead
Stays dead so long,
Ah say a person dat's dead
Has to stay dead so long.
Ah guess Ah'll git a laundry job
An' sing de Jail Blues Song.",May,1928,The Carolina Magazine,Lewis Alexander,Blues,male,Incarceration,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Waring_Cuney
Once Bad Gal ,Waring Cuney,Cuney,"Once Bad Gal
Ah was a good gal
Before Ah struck dis town,
Ah was a good, good gal
Before Ah struck dis town,
But men an' liquor
Drag you down.
A good, good gal
Just bad once,
Ah'm a good good gal
Just bad once---
When a handsome man
Made me his dunce.
Ah'd go straight if
Ah thought Ah could,
Say Ah'd go straight
If Ah thought Ah could,
But a once bad gal
Can't never be good.",May,1928,The Carolina Magazine,Lewis Alexander,Blues ,male,,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Waring_Cuney
Aint Nobody But You ,Waring Cuney,Cuney,"Smooth black man of mine
'Aint nobody but you.
No matter where you go
Or what you do
I could'nt say we're through.
Honest Daddy,
'Aint nobody but you.",May,1928,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Waring_Cuney
Suicide ,Waring Cuney,Cuney,"Last time they saw her
She was down by the river
Lawdy, Lawd,
Please forgive her.
Gamblers got her man
And beat him dead.
Gamblers broke a chair
Across his head.
Lawdy, Lawd,
Please forgive her,
She's gone to sleep
Beneaf the river.",May,1928,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Waring_Cuney
Taint No Need O' Women Worrin' ,Waverly T. Carmichael,Carmichael,"Tain't no need o' women worrin' bout dose sorry men
Dey jest like a paper bag w'en it's full o' win'.
Dey will call us sugar pie an' will treat us nice
Till dey git us horn' wid dem fur to be dere wife.
Things will go 'long very well fur a week or two
Den you'll see 'em settin' 'round frownin' atter you;
'Tain't no need o' women worrin' 'bout dese sorry men,
Dey jest like a paper bag w'en it's full o' win'. 

See dem walkin' 'long wid you, holdin' to yo' arm—
Don' you mind 'em, dat's a stunt, dey are full o' harm.
Dey -kin tell de biggis' lies most you ever seen,
An' kin pet an' honey you like you was a queen.
One caught up wid me las' night, strutin' wid a cane,
Rais'd 'is hat an' gin a bow, ""How'd do Mis' Lizer Jane?""
I didn't axe him how he done, which wus a hint to him
Dat I perfer'd a paper bag w'en it's full o' win'. 

You better keep yo' eyes on dem, dey'll fool you if dey kin',
Den go eroun' an' make dere brag to all de other men;
Dey'll come eroun' an' talk sweet talk an' dey won' let you res'
But let 'em git you fur a wife, dey'll beat you outer bref;
W'en you see dey ain't no good, jest let 'em pas' on by,
Cause sho' as you fool 'long wid dem,—dem fools'll make you cry!
'Tain't no use o' women worrin' 'bout dese sorry men,
Dey jest like a paper bag w'en it's full o' win'. 

If I ever marry one, he sho' is got to work,
I'll not work myself to death w'ile he set an' shirk;
Many women are today sleepin' in dere graves
'Cause dey work demself's to death like dey all was slaves.
But w'at you think of Jacob Quinn,—he is mighty nice,
An' you kno' I's promis' him I would be his wife;
Let me stop my crazy talk, I kno' I love de men
If dey are like a paper bag w'en it's full o' win'.
",January,1918,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Waverley_Turner_Carmichael
Negro Woman,Wesley Curtright,Curtright,"A poor old faded rose is she
From which the bloom is gone;
Caressed by a hundred hands,
And pricked by a hundred thorns.",February,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,male,,,New York,Predom. Black,https://poets.org/poet/wesley-curtwright
Afterthought,Wesley Curtwright,Curtwright,"Leave me alone
And let me think
Of things that were,
And things that might have been
If only you had made
My dreams come true.",May,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",Free Verse,male,,,New York,Predom. Black,https://poets.org/poet/wesley-curtwright
Dreamer,Will H. Hendrickson,Hendrickson,"Because my face is brown
   They say I may not dream
Of triumph and renown.
   What know they of life's scheme?
Ah, bend, bend far the bow—
   The arrow farther flies.
Press down my soul and, lo,
   My dreams shall range the skies.",December,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Common Measure,male,Progress and Racial Uplift,,New York,Predom. Black,
The Call,Will N. Johnson,Johnson,"Oh! the summer is soft and the breezes blow
Where my ship rides over the sea,
And the gulls still eagerly lead I know,
For my Love is Calling to me.
Oh! the mist envelops my wine-spent years,
And the ship of my hope goes down;
But my soul sails on thru the sea of tears
Where my Love’s sad Callings sound.  
",November,1916,The Crisis,W.E.B. Du Bois,Octave,male,,,New York,Predom. Black,
Awake! Arise! Onward!,William H. Tibbs,Tibbs,"Oh! you children of a despised race
Of dark and saffron hue;
Stop building mansions in the sky
To be occupied by you.

Your quest should be for mansions here,
For self, for home, for race,
That you can give posterity
That high and fitting place.

Placid content is a fool's paradise
It unfits the mind.
Face facts, bold and courageously,
Be implacable; the resolute kind.

Never submerge your manhood,
Always resent insults,
If anyone regard you highly
Such methods they repulse.

Be a bulldog in the fight
Never be a cur,
The bulldog no one ever kicks,
Instinctively they fear.

The fight is on! The enemy is here;
Would you know how to beat 'em?
The solution is plain, a cogent fact,
Join the Friends of Negro Freedom.",February,1923,The Messenger,"A. Philip Randolph, Chandler Owen",Common Measure,male,Progress and Racial Uplift,,New York,Predom. Black,
Sonnet,William H.A. Moore,Moore,"No wish for doing evil and no thought
Of doing good. The heart has wilful thirst
And oft times longs for drink that may come to naught.
Life is the flight which none of men have sought
And is an urge so shadowed that we durst
Not learn in its measure lest we stand accursed
In the great Presence of the Holy Gift we've sought.
Brother I hear you say, “It glowed in Thrace
And where proud Thebes held Africa’s great soul
Aloft a light forever rich and whole
In glory, beauty and the pride of race.”
But life is all for all, ’tis but the breath
Of seeming, the enhungered wish of death.",February,1925,Opportunity,Charles S. Johnson,Sonnet,male,"Race, Religion",,New York,Predom. Black,https://poets.org/poet/william-moore
That One Might Live in the Sunlight Glad,William H.A. Moore,Moore,"That one might live in the sunlight glad
   And know the day;
That one might dream in the shadows 
   And love alway.
To love and to live and to know,
To feel the sea's strength and sea's flow,
That one might sleep while the heart is mad
   And sorrow play!
that one might speak when the soul's athirst
   And hear the cry;
That one might feel when the heart has burst
  And love the why.
O to speak and to feel and to know,
O to love the wind's strength and wind's blow,
That one might walk with the sorrows first,
   Nor weep, nor sigh!
O to know and to love and to live,
O to speak and hear and to give,
   Nor fear to die! ",March,1913,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,https://poets.org/poet/william-moore
Here in the Time of the Winter Morn,William H.A. Moore ,Moore,"Here in the time of the Winter morn,
    Love.
I see the Sunlit leaves of changing hue
Burn clear against a sky of tender blue,
Here in the time of Winter morn,
    Love.
I hear the low tone bells of changing song
Ring clear upon the air the full day long,
Here in the time of Winter morn,
    Love.
I hear the bells, I see the changing leaves,
And one lone heart for Summer silent grieves,
Here in the time of Winter morn,
    Love. 
",January,1912,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,https://poets.org/poet/william-moore
"The ""Crisis""",William Pickens,Pickens,"Thou quiv’ring tongue of fire!
    Bring to our land a Pentecost,
The hearts of men inspire
To gain once more the freedom they have lost.
And fire with pristine courage sire and son,
Burn on. 
Thou flaring sheet of flame!
Burn like a startling come of high,
Forewarning in God’s name
And writing truth on our deceptive sky
Whose quiet aspect has another mien 
Unseen.
Thou whetted sword of truth!
Thou brandished sword make tyrants shake,
But stalwart men and youth
From the oppressed are rising up to break
The bonds of bondage and the bars of caste.
At last.
Thou freedoms clarion call!
Wake the oppressed, ring in their ears,
Call them to rally all
As one, unite their strength, shake off their fears,
And fight till freedom’s battles are won– 
Call on!
Thou mighty “still, small voice!”
Speak on till thou art clearly heard!
Let the oppressed rejoice
And the oppressor tremble at thy word,
Until the truth is known and justice is done
Speak on!
",May,1914,The Crisis,W.E.B. Du Bois,,male,Progress and Racial Uplift,,New York,Predom. Black,https://digitalcollections.nypl.org/items/8e0ab962-924a-a891-e040-e00a18063daf
